,antecedent,consequent,confidence,lift
0,['22329'],['22326'],0.75,5.434782608695651
1,['20719'],['22326'],0.5454545454545454,3.9525691699604737
2,['84997A'],['84997D'],0.7,18.421052631578945
3,['23294'],['23295'],1.0,50.0
4,['23390'],['23388'],0.6,30.0
5,['22941'],['POST'],0.6666666666666666,1.6181229773462784
6,['23204'],['POST'],0.5833333333333334,1.4158576051779936
7,['23008'],['23007'],0.6470588235294118,23.10924369747899
8,['84991'],['21212'],0.5,7.575757575757575
9,['23342'],['22726'],0.8333333333333334,13.020833333333334
10,['47590B'],['47590A'],0.8235294117647058,22.875816993464053
11,['23171'],['23172'],0.7142857142857143,59.523809523809526
12,['22432'],['22431'],0.625,52.083333333333336
13,['20728'],['22326'],0.625,4.528985507246376
14,['23167'],['23165'],0.7,35.0
15,['23388'],['23389'],0.8,26.666666666666668
16,['22697'],['22698'],0.7142857142857143,23.80952380952381
17,['22698'],['22699'],0.6666666666666666,15.151515151515152
18,['84997A'],['84997C'],0.5,20.833333333333332
19,['23050'],['23052'],1.0,62.5
20,['22196'],['22195'],0.75,37.5
21,['23175'],['23174'],0.7272727272727273,30.303030303030305
22,['23174'],['22699'],0.5,11.363636363636365
23,['23345'],['23346'],0.875,48.611111111111114
24,['21243'],['21244'],0.8,36.36363636363637
25,['22668'],['POST'],0.5454545454545454,1.323918799646955
26,['21976'],['22417'],0.5882352941176471,12.787723785166241
27,['23480'],['POST'],0.7647058823529411,1.856082238720731
28,['23244'],['23237'],0.5454545454545454,30.303030303030305
29,['85014A'],['85014B'],0.5,19.23076923076923
30,['23173'],['23170'],0.5833333333333334,22.435897435897438
31,['22273'],['22749'],0.5,35.714285714285715
32,['23296'],['23293'],0.8,25.0
33,['21240'],['20675'],0.6,23.076923076923077
34,['21124'],['21212'],0.75,11.363636363636363
35,['21090'],['21084'],1.0,100.0
36,['22398'],['POST'],0.5555555555555556,1.348435814455232
37,['23371'],['23372'],1.0,83.33333333333333
38,['20749'],['POST'],0.7142857142857143,1.7337031900138697
39,['21156'],['22367'],0.6923076923076923,23.076923076923077
40,['84997B'],['84997D'],0.5,13.157894736842106
41,['22367'],['POST'],0.6666666666666666,1.6181229773462784
42,['21989'],['21988'],0.7,38.88888888888889
43,['22192'],['22193'],0.6,27.272727272727273
44,['22712'],['POST'],0.6666666666666666,1.6181229773462784
45,['21124'],['21122'],0.875,43.75
46,['22273'],['22271'],0.5,35.714285714285715
47,['21987'],['21989'],0.7272727272727273,36.36363636363637
48,['21668'],['21672'],0.8333333333333334,59.523809523809526
49,['22697'],['22423'],0.5714285714285714,4.395604395604395
50,['22699'],['22423'],0.6363636363636364,4.895104895104895
51,['23176'],['23177'],0.7142857142857143,44.642857142857146
52,['21242'],['POST'],0.5384615384615384,1.3069454817027633
53,['22193'],['22191'],0.6363636363636364,45.45454545454545
54,['23171'],['23170'],0.7142857142857143,27.472527472527474
55,['21561'],['22326'],0.7,5.0724637681159415
56,['22147'],['22150'],0.7142857142857143,71.42857142857143
57,['21122'],['21213'],0.6,20.0
58,['22846'],['22847'],0.5555555555555556,16.33986928104575
59,['21578'],['POST'],0.5,1.2135922330097089
60,['23167'],['23166'],0.8,36.36363636363637
61,['23165'],['23166'],0.8,36.36363636363637
62,['23254'],['23255'],0.5789473684210527,19.29824561403509
63,['22625'],['22624'],0.8823529411764706,17.64705882352941
64,['22951'],['POST'],0.6153846153846154,1.4936519790888725
65,['21987'],['POST'],0.7272727272727273,1.76522506619594
66,['22661'],['22630'],0.5454545454545454,5.347593582887701
67,['21242'],['21244'],0.6923076923076923,31.46853146853147
68,['23290'],['22629'],0.5454545454545454,5.565862708719851
69,['22063'],['37449'],1.0,45.45454545454546
70,['21245'],['21242'],0.8333333333333334,32.05128205128205
71,['23084'],['POST'],0.6,1.4563106796116505
72,['82484'],['22423'],1.0,7.692307692307692
73,['21094'],['21086'],0.8695652173913043,18.115942028985508
74,['21080'],['21094'],0.5357142857142857,11.645962732919255
75,['23175'],['22699'],0.6363636363636364,14.462809917355372
76,['22356'],['20724'],0.5714285714285714,13.605442176870747
77,['21239'],['21240'],0.875,43.75
78,['23254'],['POST'],0.5263157894736842,1.2774655084312723
79,['21975'],['POST'],0.6666666666666666,1.6181229773462784
80,['22957'],['22967'],0.5555555555555556,55.55555555555556
81,['23175'],['23173'],0.6363636363636364,26.515151515151516
82,['21124'],['21213'],0.625,20.833333333333336
83,['37495'],['POST'],0.5384615384615384,1.3069454817027633
84,['23296'],['23295'],0.7,35.0
85,['23052'],['23053'],0.75,62.5
86,['23170'],['22423'],0.5384615384615384,4.1420118343195265
87,['22726'],['22728'],0.59375,10.602678571428571
88,['21977'],['21212'],0.6875,10.416666666666666
89,['22661'],['POST'],0.7272727272727273,1.76522506619594
90,['23290'],['23289'],0.6363636363636364,35.35353535353536
91,['23289'],['23291'],1.0,41.666666666666664
92,['21121'],['21212'],0.6428571428571429,9.74025974025974
93,['22613'],['22417'],0.5454545454545454,11.857707509881422
94,['22556'],['22551'],0.7586206896551724,9.031198686371098
95,['21239'],['21238'],0.625,28.40909090909091
96,['21977'],['POST'],0.5625,1.3652912621359223
97,['22740'],['POST'],1.0,2.4271844660194177
98,['21239'],['20675'],0.75,28.846153846153847
99,['21561'],['21559'],0.6,20.0
100,['23290'],['23292'],0.8181818181818182,31.468531468531474
101,['22375'],['22725'],0.5555555555555556,16.33986928104575
102,['21243'],['21242'],0.6,23.076923076923077
103,['84997C'],['84997D'],0.5833333333333334,15.350877192982457
104,['23294'],['23293'],0.8333333333333334,26.041666666666668
105,['21937'],['21936'],0.7142857142857143,22.321428571428573
106,['84992'],['84991'],0.6666666666666666,20.833333333333332
107,['20676'],['POST'],0.5263157894736842,1.2774655084312723
108,['23173'],['22423'],0.5,3.846153846153846
109,['22890'],['37449'],0.8333333333333334,37.87878787878788
110,['21883'],['POST'],0.8333333333333334,2.022653721682848
111,['22712'],['22029'],0.5833333333333334,13.25757575757576
112,['22727'],['22726'],0.7428571428571429,11.607142857142858
113,['23289'],['22630'],0.6666666666666666,6.5359477124183005
114,['22215'],['POST'],0.75,1.8203883495145632
115,['22659'],['22631'],0.5333333333333333,8.88888888888889
116,['22627'],['22626'],0.5714285714285714,21.978021978021978
117,['23050'],['23053'],0.8333333333333334,69.44444444444444
118,['22544'],['22539'],0.631578947368421,22.556390977443606
119,['20679'],['15056BL'],0.8571428571428571,47.61904761904762
120,['20677'],['20675'],0.6,23.076923076923077
121,['22384'],['22326'],0.5833333333333334,4.2270531400966185
122,['22375'],['84558A'],0.5555555555555556,46.2962962962963
123,['22555'],['22554'],0.5333333333333333,7.407407407407407
124,['21239'],['20677'],0.875,29.166666666666668
125,['23297'],['23295'],0.5555555555555556,27.77777777777778
126,['22540'],['22551'],0.5454545454545454,6.493506493506493
127,['84596F'],['84596B'],0.8333333333333334,83.33333333333333
128,['20674'],['20676'],0.8571428571428571,22.55639097744361
129,['84997A'],['POST'],0.5,1.2135922330097089
130,['22729'],['22728'],0.7333333333333333,13.095238095238095
131,['20676'],['20675'],0.631578947368421,24.291497975708502
132,['23173'],['23174'],0.5833333333333334,24.305555555555557
133,['79191C'],['22326'],0.5555555555555556,4.025764895330113
134,['22630'],['22629'],0.6862745098039216,7.002801120448179
135,['22356'],['POST'],0.8571428571428571,2.0804438280166435
136,['22661'],['22326'],0.6363636363636364,4.61133069828722
137,['23256'],['23254'],0.6296296296296297,16.569200779727097
138,['23290'],['23291'],0.6363636363636364,26.515151515151516
139,['22556'],['22554'],0.5862068965517241,8.14176245210728
140,['22027'],['POST'],0.5,1.2135922330097089
141,['22374'],['22326'],0.5,3.623188405797101
142,['23292'],['23291'],0.6923076923076923,28.846153846153843
143,['22375'],['22371'],0.5555555555555556,30.8641975308642
144,['21395'],['21394'],1.0,62.5
145,['21122'],['21212'],0.7,10.606060606060606
146,['22271'],['22749'],0.7142857142857143,51.02040816326531
147,['23203'],['85099B'],0.5882352941176471,10.504201680672269
148,['22725'],['22728'],0.5882352941176471,10.504201680672269
149,['22274'],['22273'],0.8571428571428571,35.71428571428571
150,['23290'],['22630'],0.6363636363636364,6.238859180035651
151,['22698'],['22423'],0.6,4.615384615384615
152,['23292'],['22630'],0.5384615384615384,5.279034690799397
153,['22547'],['22539'],0.7142857142857143,25.510204081632654
154,['23175'],['23170'],0.6363636363636364,24.475524475524477
155,['22553'],['22554'],0.625,8.680555555555555
156,['21988'],['POST'],0.6666666666666666,1.6181229773462784
157,['22646'],['POST'],0.7142857142857143,1.7337031900138697
158,['22352'],['POST'],0.6875,1.6686893203883497
159,['23007'],['22551'],0.5,5.952380952380952
